Logistic_Regression_Approach.py,2.821805585
KNN_implementation.py,5.353670814
Logistic_Regression_Approach.py,4.103270064
SVD_Approach.py,7.290665203
Random_Forrest_Implementation.py,7.446590870
Naive_Bayes_Approach.py,8.570636288
KNN_implementation.py,3.478177313
Logistic_Regression_Approach.py,2.543522385
Random_Forrest_Implementation.py,3.237037053
Logistic_Regression_Approach.py,2.958740226
SVD_Approach.py,5.659911063
KNN_implementation.py,4.294165488
Random_Forrest_Implementation.py,3.645777043
Logistic_Regression_Approach.py,2.355662354
Naive_Bayes_Approach.py,6.506466724
KNN_implementation.py,2.744842671
Logistic_Regression_Approach.py,2.688534040
Random_Forrest_Implementation.py,3.443784098
SVD_Approach.py,5.005426301
KNN_implementation.py,3.469199567
Logistic_Regression_Approach.py,2.682456181
Naive_Bayes_Approach.py,5.779655939
Random_Forrest_Implementation.py,3.723095425
KNN_implementation.py,2.741525186
Logistic_Regression_Approach.py,2.923755084
SVD_Approach.py,5.834773801
Random_Forrest_Implementation.py,3.013289183
Logistic_Regression_Approach.py,2.973584466
KNN_implementation.py,4.069135357
Naive_Bayes_Approach.py,6.245334357
Random_Forrest_Implementation.py,2.939383015
Logistic_Regression_Approach.py,2.853519067
KNN_implementation.py,3.504650340
SVD_Approach.py,7.192664512
Random_Forrest_Implementation.py,3.758211087
Naive_Bayes_Approach.py,5.775959396
KNN_implementation.py,3.654792934
Random_Forrest_Implementation.py,5.633607833
KNN_implementation.py,3.555215070
SVD_Approach.py,6.075674317
KMeans_implementation.py,39.141822620
Naive_Bayes_Approach.py,6.454882737
Random_Forrest_Implementation.py,3.234546846
SVD_Approach.py,5.319319652
Naive_Bayes_Approach.py,4.555746673
SVD_Approach.py,3.769495388
Naive_Bayes_Approach.py,4.044012910
SVD_Approach.py,4.522198262
Naive_Bayes_Approach.py,4.601415942
SVD_Approach.py,4.952746908
Naive_Bayes_Approach.py,5.018569685
KMeans_implementation.py,25.938147480
KMeans_implementation.py,20.401917887
KMeans_implementation.py,21.070993708
Linear_Kernel_Approach.py,124.492942946
KMeans_implementation.py,23.010478712
RBF_Kernel_Approach.py,136.485958306
Polynomial_Kernel_Approach.py,136.998068155
KMeans_implementation.py,17.408979509
KMeans_implementation.py,14.738102421
KMeans_implementation.py,15.401341867
KMeans_implementation.py,15.539263020
KMeans_implementation.py,14.687993014
Linear_Kernel_Approach.py,87.864216685
Polynomial_Kernel_Approach.py,87.623407109
RBF_Kernel_Approach.py,89.877829859
Linear_Kernel_Approach.py,67.109630773
Polynomial_Kernel_Approach.py,68.993885958
RBF_Kernel_Approach.py,70.720183894
Linear_Kernel_Approach.py,63.793152240
Polynomial_Kernel_Approach.py,64.271172784
RBF_Kernel_Approach.py,66.270474135
Linear_Kernel_Approach.py,64.965106762
Polynomial_Kernel_Approach.py,66.259135784
RBF_Kernel_Approach.py,68.726383068
Linear_Kernel_Approach.py,67.940353408
Polynomial_Kernel_Approach.py,69.155871833
RBF_Kernel_Approach.py,70.259142587
Linear_Kernel_Approach.py,66.356773755
RBF_Kernel_Approach.py,71.310033059
Polynomial_Kernel_Approach.py,84.785592288
Linear_Kernel_Approach.py,64.945074502
RBF_Kernel_Approach.py,68.008780163
Polynomial_Kernel_Approach.py,66.186884231
Linear_Kernel_Approach.py,65.774650876
RBF_Kernel_Approach.py,68.349950443
Polynomial_Kernel_Approach.py,67.019427437
Linear_Kernel_Approach.py,64.646229087
Polynomial_Kernel_Approach.py,62.841776683
RBF_Kernel_Approach.py,65.343607119
